Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity
TOI-1107 b,281.314,1.89,1728,1064.72516,14.572,532,4.0782387,0.025
TOI-1130 b,58.2609,2.34,632,19.28,3.56,78.1,4.07445,0.0541
TOI-1130 c,58.2609,0.75,498,325.69,13.32,30,8.350231,0.0457
TOI-1173 b,132.353,0.195,868,27.4,9.19,132,7.06466,0.023
TOI-1201 b,37.8871,2.45,703,6.28,2.415,40.6,2.4919863,0
TOI-1231 b,27.6227,1.74,330,15.4,3.65,1.93,24.245586,0.087
TOI-1235 b,39.6345,7.4,754,6.91,1.738,53.6,3.444729,0.15
TOI-125 b,111.059,2.57,1037,9.5,2.726,185,4.65382,0.194
TOI-125 c,111.059,1.73,828,6.63,2.759,77.59,9.15059,0.066
TOI-125 d,111.059,2.98,638,13.6,2.93,26.7,19.98,0.168
TOI-1260 b,73.5977,3.69,860,8.6,2.34,91,3.12748,0
TOI-1260 c,73.5977,3.45,651,13.2,2.76,29.81,7.493134,0
TOI-1260 d,73.5977,2.14,499,11.84,3.12,10.32,16.608164,0
TOI-1266 b,36.0118,1.3,425,4.23,2.62,5.5,10.894841,0.22
TOI-1266 c,36.0118,1.6,354,2.88,2.13,2.7,18.801611,0.34
TOI-132 b,163.678,3.08,1395,22.4,3.42,860,2.1097019,0.059
TOI-1386 b,146.858,1.16,676,47.0386,6.053,34.68,25.83839,0.061
TOI-1416 b,55.0135,4.5,1517,3.48,1.62,883,1.0697568,0
TOI-1420 b,201.918,0.082,957,25.1,11.89,139,6.9561063,0.17
TOI-1431 b,148.925,1.17,2370,991.62463,16.701,5300,2.650237,0.0022
TOI-1448 b,73.3345,9.51,426,19.5,2.749,5.45,8.112245,0.36
TOI-1452 b,30.5212,5.6,326,4.82,1.672,1.8,11.06201,0
TOI-1470 b,51.9503,3.86,734,7.32,2.18,46.3,2.527093,0.3
TOI-1470 c,51.9503,2.66,373,7.24,2.47,3.35,18.08816,0.5
TOI-157 b,355.683,0.686,1588,375.0394,14.415,1062,2.0845435,0
